Grolsch 2.5;Boekelo     ,Netherlands;Pale Lager - North Am. / Light;Grolsche Bierbrouwerij Ned. (Asahi);This is a good premium lager. Easy to drink smooth good flavor not overly hoppy not bitter. Would recommend
Grolsch 2.5;Boekelo     ,Netherlands;Pale Lager - North Am. / Light;Grolsche Bierbrouwerij Ned. (Asahi);klasika svého žánru. Středni komerčni proud Hollandských piv. Pivo určitě stoji za to ho ochutnat.
Grolsch 2.5;Boekelo     ,Netherlands;Pale Lager - North Am. / Light;Grolsche Bierbrouwerij Ned. (Asahi);floral                                                                                                                     ,grass                                                                                                                             ,bread                                 ,pale                                                   ,golden                        ,clear,minimal head,white foam,light sweetness,very bitter,medium sourness,umami,light body,thin feel,fizzy,bitter. The beer is descent. It is a lighter beer. I love the bottles with the pop top because the are great to reuse for your own brew.
Grolsch 2.5;Boekelo     ,Netherlands;Pale Lager - North Am. / Light;Grolsche Bierbrouwerij Ned. (Asahi);A beer with a nice bottle and good taste. .
Grolsch 2.5;Boekelo     ,Netherlands;Pale Lager - North Am. / Light;Grolsche Bierbrouwerij Ned. (Asahi);Weaker version of a not already really good beer. The bitter taste and the lousy amount of alcohol make it dull and boring.
Grolsch 2.5;Boekelo     ,Netherlands;Pale Lager - North Am. / Light;Grolsche Bierbrouwerij Ned. (Asahi);Wässriger                                                                                                                  ,leicht hopfiger Antrunk. Wässrig-leicht.... so zieht sich das Bier bis zum Ende hin. Wo ist das der Geschmack?? Test vom 20.3.2007,Gebinde: Glasflasche Noten: 7         ,3                                                      ,5                             ,3    ,9           ,3 - 4     ,00
Grolsch 2.5;Boekelo     ,Netherlands;Pale Lager - North Am. / Light;Grolsche Bierbrouwerij Ned. (Asahi);Bottle. Watered down Grolsch                                                                                               ,which means double crap. Only plus is that the skunky flavours are also watered down. Bad.
Grolsch 2.5;Boekelo     ,Netherlands;Pale Lager - North Am. / Light;Grolsche Bierbrouwerij Ned. (Asahi);This is only a beer if you need something fast to drink. No taste                                                          ,no bubbles                                                                                                                        ,golden color. Bud very bad.
Grolsch 2.5;Boekelo     ,Netherlands;Pale Lager - North Am. / Light;Grolsche Bierbrouwerij Ned. (Asahi);Ligd Yello/Golden color                                                                                                    ,thin no lasting head                                                                                                              ,bad mix of some natural ingredients...
Grolsch 2.5;Boekelo     ,Netherlands;Pale Lager - North Am. / Light;Grolsche Bierbrouwerij Ned. (Asahi);Bottle at home. This is a pretty pissy beer                                                                                ,with quick-dissapearing head. It has very little taste and what little there is Grolsch-like. It has a bitter aftertaste. Pass.
Dithmarscher Urtyp;Marne,Schleswig-Holstein                                                                                                                                                                                        ,Germany;Pilsener / Pils / Pilsner;Dithmarscher Brauerei Karl Hintz;330 ml bottle. (Citti) Flensburg                               ,Germany. Enjoyed on Aug 17            ,2019. Clear golden color with a small white head. Malty,grainy and slightly alcoholic.
Dithmarscher Urtyp;Marne,Schleswig-Holstein                                                                                                                                                                                        ,Germany;Pilsener / Pils / Pilsner;Dithmarscher Brauerei Karl Hintz;okoliczności nie pozwoliły na dokładną ocenę                   ,więc jest ona tylko poglądowa         ,żeby uzupełnić profil.
Dithmarscher Urtyp;Marne,Schleswig-Holstein                                                                                                                                                                                        ,Germany;Pilsener / Pils / Pilsner;Dithmarscher Brauerei Karl Hintz;"Ein klassisches, norddeutsches Pils mit deutlicher, hopfiger Note. Es liegt angenehm am Gaumen und leicht zu trinken. Dazu ist es ordentlich getreidig und ausgewogen. Nichts spezielles; ein einfaches Bier zum Essen."
Dithmarscher Urtyp;Marne, Schleswig-Holstein, Germany;Pilsener / Pils / Pilsner;Dithmarscher Brauerei Karl Hintz;0,33 l Flasche. Goldenes Bier mit schöner, stabiler Krone. Riecht grasig und schmeckt auch so.
Dithmarscher Urtyp;Marne, Schleswig-Holstein, Germany;Pilsener / Pils / Pilsner;Dithmarscher Brauerei Karl Hintz;Pils de 4,9 %, pour 11,6° plato et 27 ebu. Mon exemplaire était à 1 mois après sa date. Couleur doré pâle, à la clarté nette. Bulles très fines, en fontaine centrale vive. Mousse blanche, à fins flocons, en nappage à 2 mm. Arômes de malt pils, genièvre, pointe d'aubépine. 1ère bouche très plate, sans relief, à l'amertume citrique. Arrière-bouche qui ne peut dépasser ce stade. 2ème qui ne corrige rien. La longueur est strictement basique, avec la même touche citrique. Jambes fines, courtes. Levure basique. Alcool nul, il est parti voir la mer des Watten. Finale vague. CONCLUSION : urtyp peut-être, mais pils d'abord .. Ne reste qu'un beau visuel. (2/3/2/1/2)
