John O Gaunt Woodgate;Melton Mowbray,Leicestershire                                                                                                                                                                                                                                                                                                        ,England;Bitter - Premium / Strong / ESB;John O Gaunt;This has a typical smooth toffee character of a festival pale ale. Sweet and chewy                                        ,this is tasty but lacks conditioning and sparkle. Brewed for the Leicester Beer Fest.
Jurand Pils;Olsztyn                 ,Poland;Pilsener / Pils / Pilsner;Browary Warminsko-Mazurskie Jurand;Floral and light grainy aroma. Pale yellow                                                                                                                                                                                                        ,white head                                                                                                                                                                     ,good lace. Light sweet                                                                                                                                           ,bitter                                                                            ,floral. Test of 29.07.2004.
Jurand Premium;Warszawa             ,Poland;Pale Lager - North Am. / Light;Barlan Beverages Group Sp. z.o.o.;Bottle pours a clear copper with a large khaki head. Aroma of grassy hops                                                                                                                                                                     ,yeast                                                                                                                                                                          ,bready caramel malt                                                                                                                                              ,and grains. Taste of caramel and bread finishing dry with yeast and hops. Not bad.
Jurand Premium;Warszawa             ,Poland;Pale Lager - North Am. / Light;Barlan Beverages Group Sp. z.o.o.;Pours amber with a white head. Smells rosey with some caramel qualities. Tastes a little sweet with some tangy notes.
Jurand Premium;Warszawa             ,Poland;Pale Lager - North Am. / Light;Barlan Beverages Group Sp. z.o.o.;Clear gold with a white head. Biscuity aroma. Taste is malt with caramel notes and light herbal hops. Better than I expected.
Jurand Premium;Warszawa             ,Poland;Pale Lager - North Am. / Light;Barlan Beverages Group Sp. z.o.o.;500 ml bottle                                                                                                                                                                                                                                 ,date on back label of 12.11.10. I�m not sure if it�s a best by or a bottled on date. Served in a nonic pint glass                                                              ,the beer pours a mostly clear dark gold color with about an inch off-white head. Head retention and lacing are both decent enough. Aroma is bready and sweet malt,along with some corn. Doesn�t smell bad                                           ,but it doesn�t smell good                                                               ,either. Taste is pretty much all grainy malt                                                                                                                                                 ,along with a bit of bittering hops. Not bad,but not good either. Mouthfeel/body is medium,it�s a bit coating and is well carbonated. For the style,it�s not a bad brew. It�s not something I would drink very often,but if you can find a single bottle it�s worth trying. If I remember correctly,I think this was pretty cheap to buy.
Jurand Premium;Warszawa             ,Poland;Pale Lager - North Am. / Light;Barlan Beverages Group Sp. z.o.o.;500 ml bottle                                                                                                                                                                                                                                 ,no date. Pours a decent orange/gold with a highly active large creamy white head that lasts and lasts before receding to some nice lacing. The smell is typical euro pale fare ,just some pale malts. The taste is average for the style                                                                                                         ,it seems slightly heartier                                                        ,but overall the same� ol same �ol. Serving type: bottle Reviewed on: 03-10-2010 04:48:33
Jurand Premium;Warszawa             ,Poland;Pale Lager - North Am. / Light;Barlan Beverages Group Sp. z.o.o.;"16.9oz bottle. Anything labeled ""Premium"" is gonna be sketchy. Filtered orange-yellow. Fluffy, soapy head. Off pungent Eastern-European factory swill aroma. Relatively straightorward trash Lager..A Pils? ..yeah right. Considering this beer probably costs like 17 cents in Poland, it�s tolerable. Sugary, extract tasting stuff. Some medium dark malt tones, reminiscent of that Mocne taste. Could actually get used to this one, not entirely reprehensible."
Jurand Premium;Warszawa, Poland;Pale Lager - North Am. / Light;Barlan Beverages Group Sp. z.o.o.;Cool, has a serial number on the bottom of the label. Mine says brewed by Litowel Breweries. Big pour into a 22 oz glass mug. A little smell of somewhat veggie hops but in a pleasant way. Big white creamy head that fades to a blanket. Yep, its above 5% and tatses like it. Some shades of cheap american pale high gravity but that goes away at times. Has a somewhat acceptable sizzle on the palate, but that fades too as the session continues. Very nice lacing like a wet white wifebeater tanktop on rachel welch in the 1960�s. Not bad overall, never quite gets to american malt liqour attributes.
Jurand Premium;Warszawa, Poland;Pale Lager - North Am. / Light;Barlan Beverages Group Sp. z.o.o.;500mL bottle, BB 11/12/10. Poured clear, bright golden with a short, tightly-bubbled white head. The aroma picked up honey and pale malts with just a little airy earth present.. some corn syrup as it warmed up. The flavor found honey and corny vegetal malts throughout.. sweeter honey was marginally tasty on the finish.. there was an element of dank on the middle that I couldn�t figure out.. OK overall. Light-bodied, dry, and grainy on the palate.. too syrupy to be refreshing.
Jurand Premium;Warszawa, Poland;Pale Lager - North Am. / Light;Barlan Beverages Group Sp. z.o.o.;clear bubbly yellow gold, medium white head, quite lacy. nice clean (if mild) malty nose, trace of grain, lemony. flavor is musty malt, grain and lemon. medium bodied, kinda sparkly mouth feel, lightly bitter finish. a nice pils. not exciting but refreshing and repeatable. a cheap. single bottle purchase from binny�s orland park.
Jurand Premium;Warszawa, Poland;Pale Lager - North Am. / Light;Barlan Beverages Group Sp. z.o.o.;bottle. bready lemons. doughy dirt. muddy grainy corn. didn�t like. not a typical pils. too much cardboard.
Jurand Mocne;Olsztyn, Poland;Pilsener - Imperial;Browary Warminsko-Mazurskie Jurand;Light ambergold, small off white head. Malty alcohol, caramel with a light body. Test of 29.07.2004.
Jurand Mocne;Olsztyn, Poland;Pilsener - Imperial;Browary Warminsko-Mazurskie Jurand;Jurand Browary Warminsko-Mazurskie--Jurand Mocne Malt Liquor--2006 16.9 oz. Bottle. 7.00% ABV. 35 IBU�s? (4.25 / 5.0) Mild lace head. Hazy bright golden color. Medium hop adjunct front. Rich malty clean mild sweet caramel butter body. Tangy sweet apple pear mild hop end. Malty spicy rich tasty Bock. Sampled 2/5/2006.
Jurand Mocne;Olsztyn, Poland;Pilsener - Imperial;Browary Warminsko-Mazurskie Jurand;Tried again recently and got pretty much the same result. A little less drinkable than I recalled. Original rating follows. Dark gold to light orange body with a lightly off white head. The aroma has some dusty hay and old library books. There is also some light apple behind the dusty character. The taste has some sweet potatoes and caramel. There is also some light would in the finish. A decent brew.
Jurand Mocne;Olsztyn, Poland;Pilsener - Imperial;Browary Warminsko-Mazurskie Jurand;Single from Garys. Solid long lasting Head. Cloudy Golden Color. Malty as well as sweet. Very Full taste
Jurand Mocne;Olsztyn, Poland;Pilsener - Imperial;Browary Warminsko-Mazurskie Jurand;Bottle: Bronze, light white head and light lacing. Nose of sweet Slavic malt and hops. The flavor is sweet, high alcohol and decently malted. Finishes sweet and malty. Meh. Your typical Slavic malt liquor.
Jurand Mocne;Olsztyn, Poland;Pilsener - Imperial;Browary Warminsko-Mazurskie Jurand;Bottle: Pours a lighter amber/orange color with an average white head. Nose is sweet and malty, pretty standard for a lager. Taste is sweet and musty malt, as well as some grassy tones.
Jurand Mocne;Olsztyn, Poland;Pilsener - Imperial;Browary Warminsko-Mazurskie Jurand;Nice amber color,small white head that had a good hang time then faded slowly to leave a decent lace behind.Very light aroma,light malt some sweetness and maybe a hint of citrus in there.The taste was malty with some mild hints of lemon and the hops come on fairly well in the middle and end with a mild hop bitterness.Not a bad brew,it has a slightly heavy middle to it but not bad at all.
Jurand Mocne;Olsztyn, Poland;Pilsener - Imperial;Browary Warminsko-Mazurskie Jurand;Finally a Eastern European beer that I could finish. Not that it was good it just wasn�t horrible. Had a real funky nose that was skunky and like the smell of a unused ziplock baggy. actually quite refreshing but still has that underlying skunkiness.
Jurand Mocne;Olsztyn, Poland;Pilsener - Imperial;Browary Warminsko-Mazurskie Jurand;"Mid-golden with the light haze of microscopic particulate topped with a large, slow-fading, white head. Plastic in the aroma (think ""model car kit"") with herbs, cereal malts, fresh sawdust and a tinkle of pee. Sweet, corn-syrupy flavor with industrial gasoholic leanings leading the way to a dry, alcoholic finish. Sweetness lingers and I can�t decide if I like it. The punch of alcohol saves this one. Binnys Beverage Depot/DiCarlo�s Armanetti, Willowbrook, IL 60527"
Jurand Mocne;Olsztyn, Poland;Pilsener - Imperial;Browary Warminsko-Mazurskie Jurand;Sweet malty aroma. Good label and bottle, lightly hazy honey gold beer with a big white head. Malty, just a little boozy, cakey at times. Not super bitter, but adequate hopping. Nothing fancy. Medium body, hop finish, loses CO2.
Otto�s Hefeweizen;State College, Pennsylvania, United States;Weissbier - Hefeweizen;Otto's Pub and Brewery;Pretty nice hefeweizen. Banana and a hint of clove in the right proportions. A nice summer beer. Murky orange pour with good head and lacing. Soft sweet finish. Tap at brewery.
Otto�s Hefeweizen;State College, Pennsylvania, United States;Weissbier - Hefeweizen;Otto's Pub and Brewery;Tap from the source. Hazy orange with a short white head. Not much in the nose, a bit more clove than banana in the mouth, touch gritty, half-sweet, low bitterness, low plastic astringency, strong carbonation with harshness but a little mineral in a medium-full body. Not great but fresh and I�d certainly order again. [2018.07.09: 2.9]
Otto�s Hefeweizen;State College, Pennsylvania, United States;Weissbier - Hefeweizen;Otto's Pub and Brewery;"DATE REVIEWED: August 21, 2014... GLASSWARE: Weihenstaphaner weizen... OCCASION: catching up on some DVRs...APPEARANCE: dark copper body; very little effervescence; snow white head settles quickly to a sudsy, thin consistency; no lacing... AROMA: warm banana and aromatic bubblegum, with a hoppy citrus dimension; secondary scents like pepper and vanilla can be detected ... PALATE: intriguing balance of soft and strong--smooth mouthfeel but slightly heavier at the throat--revealing an ale character... TASTE: rather nondescript flavor, with lemon hints late and bubblegum, mint and grass--some malty sweetness too...OVERALL: bought as a bomber from the brewery itself, this brew compliments the humid August night well; an easy-drinking, tasty beer that I will seek out when returning to State College next summer...."
Otto�s Hefeweizen;State College, Pennsylvania, United States;Weissbier - Hefeweizen;Otto's Pub and Brewery;Transfer from BA review on 4-30-12 - Served on tap in a pint glass Appearance � Served a super hazy orange color with a nice billowy white head. The head faded relatively fast to give only a light amount of lacing. Smell � Big aromas of yeast and a wheat-bready smell are most dominant. There are also some nice aromas of orange, lemon, banana, and a little bit of spiciness mixed within. Taste � The taste has a very pleasing wheat backbone. The wheat bread taste is initially complemented with a good dose of yeast cake and some spice. The taste starts out more on the maltier side, but as the taste advances it sweetens as more citrus orange and lemon come to the forefront. Other fruit flavors of banana develop more toward the end. The spiciness intensifies again at the end and when mixed with the sweeter fruit flavors leaves a spicy sweet taste on the tongue. Mouthfeel � Medium to just a bit above medium in body thickness with a slightly higher than average level of carbonation. The lighter body and the higher carbonation complement the style well and make it a very drinkable brew. Overall � A wonderfully flavorful session brew. This is one I think Otto�s should put on their permanent roaster.
Otto�s Hefeweizen;State College, Pennsylvania, United States;Weissbier - Hefeweizen;Otto's Pub and Brewery;WOW, one of the best beers I have had in a long time. Got this as a treat at a tasting. It reminded my of some beers brought back from Germany. Poured cloudy, with a nice white head. It had a nice banana and spice aroma and flavor. I can�t wait to visit State College!
Otto�s Hefeweizen;State College, Pennsylvania, United States;Weissbier - Hefeweizen;Otto's Pub and Brewery;Had on draft @ Otto�s brewpub, in the NeW location, in State College,PA .. . pours with decent foam .. lacing is dreamy .. . lots of cloves and spiced banana dessert .. . light mouth .. some good stuff here .. .. . . tap that stack of paper, makes us feel better!
Otto�s Hefeweizen;State College, Pennsylvania, United States;Weissbier - Hefeweizen;Otto's Pub and Brewery;Draft at brewpub. Pouts yellow with a nice amount if cloudiness and a half an inch of white foam. Nice banana notes on the nose. Big banana and clove notes on the tongue. Finishes clean. Very good example of style.
Otto�s Hefeweizen;State College, Pennsylvania, United States;Weissbier - Hefeweizen;Otto's Pub and Brewery;on tap-pours an off white head and cloudy yellow/orange color. Aroma is clove/banana, secondary medium malt. Taste is clove/banana, secondary wheat/medium malt, spice hops. OK effervescence.
Otto�s Hefeweizen;State College, Pennsylvania, United States;Weissbier - Hefeweizen;Otto's Pub and Brewery;An excellent hefe and I�m a big fan of the style. On tap at the brewpub. Cloudy, murky orange brown. Traditional bananas and cloves nose. Banana bread palate. Very full and rich. Sweet start and sour finish. Great!
Otto�s Hefeweizen;State College, Pennsylvania, United States;Weissbier - Hefeweizen;Otto's Pub and Brewery;On tap at brewpub. Cloudy dark orange with thin white head. Aroma is banana. Flavor is banana, caramel and hay. Refreshing and smooth.
Ottos Arthurs Robust Porter;State College, Pennsylvania, United States;Porter;Otto's Pub and Brewery;On cask at the brewery. Pours a hazed dark brown with a medium sized tan head. Soft sweet roast on the nose. Medium bodied, smooth with sweet roast, cocoa, chocolate and a touch of coffee. Lingering sweetness balanced with a good bit of dark chocolate.
Ottos Arthurs Robust Porter;State College, Pennsylvania, United States;Porter;Otto's Pub and Brewery;Transfer from BA review on 4-17-12 - Served on cask at the brewpub in a pint glass Appearance � The beer was served a deep brown color with a small tan head. The head faded rather fast giving very little lacing. Smell � The nose is quite light. There are hints of raosty malt with a very light coffee and chocolate aroma. Taste � The taste was of roasted malt up front. A dark bread mixed with a very light amount of roasted coffee and chocolate. There is a light sweetness of brown sugar and a very small amount of vanilla in the beginning and the middle of the taste. The flavors bitter more toward the end at the expense of the sweet, and leave a somewhat roasty and somewhat bitter flavor on the tongue. Mouthfeel � A nice creamy body with a lighter level of carbonation. Very classic for a cask with some accentuation of the body. The creaminess complements the roasty flavors quite nicely. Overall � It was worth a try, but one I would likely not go back to any time soon. It had a very nice mouthfeel, but was pretty average in every other category.
Ottos Arthurs Robust Porter;State College, Pennsylvania, United States;Porter;Otto's Pub and Brewery;Well balanced good color, head retention. Flavor was moderate at beginning but fell off towards the end.
Ottos Arthurs Robust Porter;State College, Pennsylvania, United States;Porter;Otto's Pub and Brewery;Had on CasK @ Otto�s brewpub, in State College,PA - if you can find it.. . light casky mouth .. deep roast .. slick aftertaste .. . a perfect session brew but still, could be fuller- put this beer on nitro!! .. . . nothing but a few butterfly bandages won�t fix..
Ottos Arthurs Robust Porter;State College, Pennsylvania, United States;Porter;Otto's Pub and Brewery;Cask at brewpub. Pours black with a slow settling khaki head which leaves a fair amount of lacing in the glass. Nice malt and molasses on the nose. Mouthfeel is a bit thin as is the taste. Finishes clean. Solid but not as awesome as I�d hoped.
Ottos Arthurs Robust Porter;State College, Pennsylvania, United States;Porter;Otto's Pub and Brewery;Sampled on cask this beer poured a very dark brown color - almost black with a medium sized creamy brown head that lingered and left great lacing. The aroma was dry, roasty and woody. The flavor was bitter, dry and roasty with light notes of vanilla and wood. The finish was long, dry, roasty and woody. Medium body. Not my style.
Ottos Arthurs Robust Porter;State College, Pennsylvania, United States;Porter;Otto's Pub and Brewery;On cask at brewpub. Dark brown with half inch cream colored head. Aroma is nutty. Flavor is roasted nutty maltiness. Okay.
Ottos Arthurs Robust Porter;State College, Pennsylvania, United States;Porter;Otto's Pub and Brewery;On cask at Zeno�s Pub - State College, PA. Crisp, dry roasty nose with lots of charcoal, some cracked black pepper, and a hint of red wine. Pours rather dark black-brown with an off-white rim. Flavors are bristling with ultra-dry roast characters. Seems nearly stout like or very traditional London-style with an almost smoky edge. The malt base is exceedingly clean, allowing for a showcase of roasted and blackened characters. This beer really belches charred dryness. The cask presentation quiets the carbonic edge, which might get a little aggressive with this much roasted acidity in the beer. Fresh, prickly and with a nice roasted character that is unique and enjoyable.
Ottos Arthurs Robust Porter;State College, Pennsylvania, United States;Porter;Otto's Pub and Brewery;Cask at Otto�s. Very deep dark brown/almsot black with a frothy beige head and good lace. Aroma had lot sof chocolate malts with hints of roasted barley. Light hops all the way through for some balance, more chocolate in the middle, and a ligth bitterness in the end with hints of licorice. One of the smoothest porters I have had.
Ottos Arthurs Robust Porter;State College, Pennsylvania, United States;Porter;Otto's Pub and Brewery;Draft at State College. Deep burnt sienna with tan head. Aroma of dark malt, chocoff, some licorice and port. Tastes roasty malty, with finishing chocoff and molasses. Great balance and complexity.
Per�a Goolman;Lublin, Poland;Pilsener / Pils / Pilsner;Perla - Browary Lubelskie;Ocena wystawiona na podstawie wspomnie� z degustacji w ramach uzupe�nienia profilu.
Per�a Goolman;Lublin, Poland;Pilsener / Pils / Pilsner;Perla - Browary Lubelskie;Ocena wystawiona na podstawie wspomnie� z degustacji w ramach uzupe�nienia profilu.
Per�a Goolman;Lublin, Poland;Pilsener / Pils / Pilsner;Perla - Browary Lubelskie;zapach do�� neutralny, zio�a, s�ody, troch� zielonych ro�lin, troch� kurzu i piwnicy. kolor z�oty, klarowny, piana bia�a, �rednio obfita, ale do�� trwa�a. w smaku wytrawnie, lekkie s�ody, stare ro�liny zielone, troch� zi�, kurz, lekka m�ka, troch� aromat�w bimbrowych i ogonk�w z jab�ek gdzie� w tle. nie jest odpychaj�cym, ale nie jest te� przyjemny. goryczka niska, kurzowa, zio�owa i zielona. nasycenie wysokie
Per�a Goolman;Lublin, Poland;Pilsener / Pils / Pilsner;Perla - Browary Lubelskie;Can. Golden color, clear, white foam. Aroma and taste: pilsner malt, a little local hops, moderately clear and watery.
Per�a Goolman;Lublin, Poland;Pilsener / Pils / Pilsner;Perla - Browary Lubelskie;Sentyment z gimnazjum, zobaczymy jak si� broni. G��bokie z�oto, niska piana, nawet si� trzyma. Pachnie zbo�em, mokrym zbo�em, do tego kukurydza i nieco moczu. Nie razi bardzo, ale za dobrze nie jest. W smaku pe�ne, tre�ciwe, s�odowe, zbo�owe, goryczka cienka. Browary Lubelskie maj� gorsze rzeczy.
Per�a Goolman;Lublin, Poland;Pilsener / Pils / Pilsner;Perla - Browary Lubelskie;Can, Fresh Market Polski, Wigston. Golden with an off white head. Sweet grain and corn with sudsy water. Stewed autumn fruits. Papery. Peppery. Dull.
Per�a Goolman;Lublin, Poland;Pilsener / Pils / Pilsner;Perla - Browary Lubelskie;Starsi mawiali, �e to piwo dla meneli. Odstrasza�o mnie to od niego do tego stopnia, �e do dzi� mia�em wra�enie, �e nie produkuj� go od 15-tu lat.
Per�a Goolman;Lublin, Poland;Pilsener / Pils / Pilsner;Perla - Browary Lubelskie;Sv�tle �lut� barva, p�na se vytrat� rychlost� sv�tla, v�n� m�rn� sladov�, st�edn� ��z, chu� sladov�, dozvuk sladov� a� nasl�dl� s pachut�. Nedobr� pivo.
Per�a Goolman;Lublin, Poland;Pilsener / Pils / Pilsner;Perla - Browary Lubelskie;Nothing terrible about it--it�s a standard light E. Eur lager on the watery side, with slight off notes in the aroma and metallic elements onward to the finish. Slightly unusual find at a neighborhood Tallinn grocery store (16.9 oz can)
Per�a Goolman;Lublin, Poland;Pilsener / Pils / Pilsner;Perla - Browary Lubelskie;500ml can - thanks Marduk! Bland aroma, some hints of pale lager. Watery palate. Sweet and corny taste. Tastes so watery. Hops are chemical and extracty. Drinks like 3.5 more then 5.0 it�s so watery.
Upland Winter Warmer;Bloomington, Indiana, United States;BarleyWine / WheatWine / RyeWine;Upland Brewing Company;Pours a deep golden brown from the bottle with fluffy tan head that leaves moderate lace. Aroma of musty earth, a hint of dark fruit, molasses and caramel, and booze. Taste follows, definitely big and warming, nice dark fruit and sweet maltiness, with a touch of earthy hop behind. Nicely done for a very uninteresting style, but a classic.
Upland Winter Warmer;Bloomington, Indiana, United States;BarleyWine / WheatWine / RyeWine;Upland Brewing Company;Pours clear caramel, minimal beige head. Aroma offers toasted malt and slightly tart fruit. Flavor features tropical and pomme fruit, toasted malt, sharp woody and caramel notes. Texture has fair fizz and OK body. Warm your winter.
Upland Winter Warmer;Bloomington, Indiana, United States;BarleyWine / WheatWine / RyeWine;Upland Brewing Company;"2007 bottle! Trade from Cornfield many years ago! I took in a nice nose of plum and brown sugar. The head does a very good job of staying in the glass; it's only lost half its height in the first ten minutes. The taste still has some hop bitterness. Maybe not that distinguishable, or else just using mostly English hops. Alcohol is very warming as I sip it. The malt has more caramel, and a bit of roast to it. There is a bit of the papery note of oxidation, but that can't be avoided with an 11-year old beer, especially at 9% abv. That one bit of off character is very mild, and does not distract from the experience of a beer made to lay down for, well, three presidential terms. As with many cellared beers, there are some dregs in the bottom of the glass of dead yeast or hop particles. Holding the last of it back, then swirling into my glass, didn't offer much that was different."
Upland Winter Warmer;Bloomington, Indiana, United States;BarleyWine / WheatWine / RyeWine;Upland Brewing Company;Bottle shared. Pours a clear amber with a finger of foam that dissipates. Prune and raisin driven nose with some light brandy like character and malt. Fruit forward with good malt character a touch of oxidation. A nice and smooth winter warmer that was nice shared amongst friends!
Upland Winter Warmer;Bloomington, Indiana, United States;BarleyWine / WheatWine / RyeWine;Upland Brewing Company;Bottle. Pours a cloudy brown with small beige head that lasts. The aroma is bourbon and vanilla. Medium mouth, candy sugar, dark fruit, booze, sweet finish, very good.
Upland Winter Warmer;Bloomington, Indiana, United States;BarleyWine / WheatWine / RyeWine;Upland Brewing Company;650ml bottle. PRetty middle of the road barleywine, sweet caramel, missing some body.
Upland Winter Warmer;Bloomington, Indiana, United States;BarleyWine / WheatWine / RyeWine;Upland Brewing Company;Bottle at home. Pours a clear dark amber brown color with a small off white head. The aroma and flavor have some herbal hops sweet malts, caramel, leather, a moderate fruit character with a touch of bitterness to the finish. A touch on the thin side.
Upland Winter Warmer;Bloomington, Indiana, United States;BarleyWine / WheatWine / RyeWine;Upland Brewing Company;22 ounce bottle A bargain at $3.99 this was a decent barley wine with a Midwestern touch. Typical of many of the non-sour Upland beers it has some weaknesses. Overall though they are masked by a strong presence, great price, and well thought out winter warmer. Aroma / Appearance - The ruby red base is trapped under a bubbly head of foam. Musty leather, wet shoes after a winter hike, and sweet red vines tether it to the later months of the year. Hops are present but do not really take center stage. Flavor / Palate - Almonds, cherries, and fresh hops brighten the palate. Sweet aspects carry a chewy mouthfeel to a creamy and long lasting conclusion. A decent beer is slightly memorable and above average. At best though it makes a strong case for being a solid regional to fallback on when you get tired of Sun King, New Albanian, and other Indiana brands.
Upland Winter Warmer;Bloomington, Indiana, United States;BarleyWine / WheatWine / RyeWine;Upland Brewing Company;"Bottle; Pour is murky brown / mahogany with a two finger, fine bubbled khaki head into this glass. The nose is mineral, dark fruit, caramel and toffee, with a hint of grassy hops present here as well. The flavor profile is malt forward initial, blending somewhat messily with the dark fruits ; sugar plum moves to brown sugar , with some biscuit and grass present ; Its not very impressive honestly - but its not bad either."
Upland Winter Warmer;Bloomington, Indiana, United States;BarleyWine / WheatWine / RyeWine;Upland Brewing Company;I�m not the biggest fan of sweet, heavy beers, I don�t know, I guess I was in the mood. Pours reddish copper, with a ring of foam. Smells is lots of caramel, toffee, and molasses. Very smooth, slick palate. Taste is lots bready, toasty caramel and other sweet flavors. Nice bit of spruce and pine in the finish. I don�t know if I would drink all the time, but it hit the spot this time. BTW, the label says 8.5%, not 9...
Swan Select Chinook;West Peckham, Maidstone, Kent, England;Bitter - Ordinary / Best;Swan On The Green;"Cask, Swan Brewpub, Kent. Ginger orange colour. Malty sweet vinegary aroma. Crude. Taste is all over the place. Even the texture is unbalanced; watery in places, but mostly sticky sweet. Some obscure lemon flavour amongst mostly undeveloped malt. Dreadful stuff. No idea what style this is supposed to be - it's like nothing I've ever experienced before, or would want to ever again!"
Swan Trumpeter Best;West Peckham, Maidstone, Kent, England;Bitter - Ordinary / Best;Swan On The Green;Half pint pulled at th brew pub in West Peckham (Kent), amber with a creamy off white head. A sweetish grainy malt aroma. A malty flavour, a bit atsringent though. A good bitterness throughout though.
Swan Trumpeter Best;West Peckham, Maidstone, Kent, England;Bitter - Ordinary / Best;Swan On The Green;Cask handpull at Swan on the Green. Fresh barrel on. Old gold colour with lasting beige head. Nice caramel malt and hop balanced nose. Richish malt fruit and more caramel in mouth, with good hop/malt finish. Overall a good balaced best bitter
Swan Trumpeter Best;West Peckham, Maidstone, Kent, England;Bitter - Ordinary / Best;Swan On The Green;Cask @ Oxford Beer Festival, UK Backlog 23 Oct 2004 Surprisingly roasted taste for such an amber beer. Nice hoppiness present.
